Filename,CommitSHA,Author,Date
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,1d91999332432d5bb85facfb184fa5b525a8667c,Matthew Rollings,2017-03-29T11:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,1d91999332432d5bb85facfb184fa5b525a8667c,Matthew Rollings,2017-03-29T11:18:37Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,1d91999332432d5bb85facfb184fa5b525a8667c,Matthew Rollings,2017-03-29T11:18:37Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,68943207c5de1bea38b46b073fce9af595a3c6cd,vyas,2017-05-10T19:44:29Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,f2ea0bd158f20de2810f98228aea6c6d061ff282,Frieder Bluemle,2017-05-11T16:41:00Z
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,f2ea0bd158f20de2810f98228aea6c6d061ff282,Frieder Bluemle,2017-05-11T16:41:00Z
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,f2ea0bd158f20de2810f98228aea6c6d061ff282,Frieder Bluemle,2017-05-11T16:41:00Z
rootbeerlib/src/main/jni/toolChecker.cpp,f2ea0bd158f20de2810f98228aea6c6d061ff282,Frieder Bluemle,2017-05-11T16:41:00Z
rootbeerlib/src/main/jni/toolChecker.h,f2ea0bd158f20de2810f98228aea6c6d061ff282,Frieder Bluemle,2017-05-11T16:41:00Z
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,4d3da918778eabdf01fd0fbebefcb04edc4aca32,Frieder Bluemle,2017-05-11T16:55:33Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,65c7647ffbbe013c11e5862b7ab52307ca6d5dfe,BIOCATCH\Leon.Karabchevsky,2017-06-07T07:53:52Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,4151dc37a82a28da94ee4bfed5fb679820d7233a,Ali Waseem,2017-08-11T15:34:54Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,0f9c169454010de9080427d645f491867856e376,Frieder Bluemle,2017-08-19T16:20:33Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,0f9c169454010de9080427d645f491867856e376,Frieder Bluemle,2017-08-19T16:20:33Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,476f81fd38954a9452886c1dc6401db688aaf871,Matthew Rollings,2017-09-29T08:23:05Z
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,279ab654aeadad80119abf615076b22eb07f2029,matthew,2017-10-31T18:57:32Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,279ab654aeadad80119abf615076b22eb07f2029,matthew,2017-10-31T18:57:32Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,6ff8b25974c991ab55948fbe0664ab423f3a0c7b,altvnv,2018-03-16T11:36:53Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,6b0362df982ca091d8ddb19d6055e5427868bb09,altvnv,2018-03-16T12:02:21Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,1853c45fc9d72160eb855613a2c906f1186e8a7f,altvnv,2018-03-16T12:14:23Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,bfba45649d5b94d4843443dcbddaab40c88132e6,altvnv,2018-03-16T16:42:19Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,bfba45649d5b94d4843443dcbddaab40c88132e6,altvnv,2018-03-16T16:42:19Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,bfba45649d5b94d4843443dcbddaab40c88132e6,altvnv,2018-03-16T16:42:19Z
